team_id,team_name,created_at,plan,region,contact_email,member_count,project_count,prod_deployment_count,deployment_count,largest_deployment_class,suspended,has_convex_employee_member
118485,Gruhollow Commerce,2026-05-13,Pro,us-east,sana.okoro@icloud.com,1,3,1,6,s16,false,false
119076,Vingrove Analytics,2024-05-14,Starter,us-east,chen.lindqvist@proton.me,1,6,0,9,s16,false,false
119963,Umbfield Robotics,2024-06-09,Pro,us-east,noah.moreau@icloud.com,2,5,1,10,s16,false,false
120087,Lunhollow Games,2025-03-06,Pro,eu-west,iris@lunhollow.dev,1,3,1,5,s16,false,false
120317,Calstead Health,2025-07-01,Starter,us-east,lars.silva@calstead.ai,1,3,0,4,s16,false,false
120393,Pyrfont Bio,2025-02-14,Starter,us-east,hana@pyrfont.io,1,1,0,3,s16,false,false
121014,Delreach Bio,2024-04-15,Pro,eu-west,elena@delreach.co,2,2,1,6,s16,false,false
121610,Morreach Health,2025-10-11,Starter,us-east,elena.silva@morreach.io,2,2,1,6,s16,false,false
122064,Kesridge Commerce,2025-09-10,Pro,eu-west,theo.petrov@kesridge.dev,1,4,1,6,s16,false,false
122259,Ithport Analytics,2026-01-12,Starter,us-east,raj.quinn@ithport.app,2,4,0,6,s16,false,false
122655,Junmere Robotics,2025-01-21,Pro,eu-west,malik.oyelaran@proton.me,2,5,1,7,s16,false,false
122868,Halvale Health,2025-08-05,Pro,eu-west,raj.petrov@halvale.com,2,4,1,6,s16,false,false
122995,Umbquay Games,2025-04-08,Starter,eu-west,theo@icloud.com,2,4,0,6,s16,false,false
123473,Sarreach Commerce,2025-11-07,Pro,eu-west,aisha.abara@sarreach.com,4,4,1,6,s16,false,false
123759,Grumoor Games,2025-07-08,Starter,us-east,maya.ferreira@grumoor.com,1,2,1,4,s16,false,false
124191,Sarquay Robotics,2024-05-29,Pro,us-east,otto.quinn@sarquay.com,2,1,1,3,s16,false,false
124291,Korcrest AI,2025-03-21,Pro,us-east,sana@korcrest.io,1,1,1,5,s16,false,false
125135,Solfont Logistics,2024-08-13,Free,eu-west,theo.nakamura@proton.me,1,4,0,6,s16,false,false
125821,Nyxbrook Media,2024-05-20,Free,us-east,kai.sandoval@icloud.com,1,3,0,5,s16,false,false
126047,Quoport Bio,2025-12-06,Starter,us-east,chen.quinn@gmail.com,1,2,1,4,s16,false,false
126796,Halshore,2024-10-04,Pro,us-east,malik.hoffmann@outlook.com,2,4,1,9,s256,false,false
127270,Grucrest Bio,2025-08-11,Free,eu-west,ivy.larsen@gmail.com,1,4,1,8,s16,false,false
127383,Keswick Robotics,2025-06-27,Pro,eu-west,theo@proton.me,2,6,1,8,s16,false,false
127952,Ithspire Logistics,2026-01-16,Free,eu-west,omar@ithspire.dev,1,4,0,8,s16,false,false
128276,Calmarch Digital,2024-06-08,Free,eu-west,hana.bouchard@calmarch.co,1,4,0,8,s16,false,false
128785,Calreach Media,2026-01-14,Starter,eu-west,malik.oyelaran@outlook.com,2,5,1,7,s16,false,false
129633,Arcgate Works,2024-04-04,Starter,eu-west,ivy@outlook.com,1,4,1,8,s16,false,false
129713,Morshore Commerce,2025-10-27,Starter,us-east,maya.sandoval@morshore.ai,1,4,0,6,s16,false,false
129818,Morcrest Logistics,2024-08-06,Starter,us-east,dev@yahoo.com,1,4,0,7,s16,false,false
130275,Embbourne Digital,2025-11-15,Pro,eu-west,otto.nakamura@icloud.com,4,4,0,6,s16,false,false
130711,Pavport Health,2024-04-18,Pro,us-east,malik@proton.me,1,5,1,8,s16,false,false
130821,Cynquay Media,2025-05-29,Free,us-east,ivy.ashworth@proton.me,1,7,0,8,s16,false,false
131399,Halgate,2024-10-30,Pro,us-east,wei.kirby@proton.me,1,5,1,9,s16,false,false
131456,Morfont Health,2025-05-28,Starter,eu-west,diego.haddad@proton.me,1,3,1,7,s16,false,false
132167,Cynquay Commerce,2024-12-09,Starter,us-east,kai.larsen@cynquay.com,1,2,1,6,s16,false,false
132945,Kormarch Games,2025-03-16,Starter,us-east,sam@kormarch.com,1,1,0,3,s256,false,false
133429,Dorbourne Analytics,2025-01-31,Starter,eu-west,wei.reyes@dorbourne.app,1,8,1,10,s16,false,false
134282,Froshore Logistics,2026-05-11,Starter,us-east,gus.silva@yahoo.com,2,1,0,5,s16,false,false
134881,Calhollow Networks,2024-05-09,Pro,eu-west,elena.oyelaran@calhollow.co,5,5,2,9,s256,false,false
134943,Velridge Cloud,2025-03-08,Free,us-east,elena.bergstrom@velridge.io,1,3,1,6,s16,false,false
135222,Dorshore Cloud,2024-07-17,Starter,us-east,sofia.bouchard@dorshore.com,2,5,0,8,s16,false,false
135266,Umbmoor Networks,2025-06-21,Free,us-east,petra@icloud.com,1,3,0,4,s16,false,false
136040,Lunspire,2026-04-12,Starter,us-east,dev@icloud.com,2,3,0,5,s16,false,false
136340,Cynmoor Cloud,2025-04-07,Pro,us-east,sam.kirby@cynmoor.co,1,3,1,5,s16,false,false
136489,Vinreach Digital,2024-11-06,Pro,us-east,chen@outlook.com,1,3,1,7,s16,false,false
136549,Torloft Systems,2025-09-29,Free,us-east,kai.reyes@yahoo.com,1,3,1,7,s16,false,false
137074,Melmoor Health,2024-07-09,Pro,us-east,tomas@melmoor.com,1,5,0,8,s16,false,false
137392,Lunridge Cloud,2025-05-03,Free,eu-west,lena@lunridge.ai,1,4,0,8,s16,false,false
137605,Hexmarch Group,2025-11-08,Pro,us-east,petra@hexmarch.com,2,2,1,4,s256,false,false
137985,Dorloft Works,2026-05-08,Starter,eu-west,sana@yahoo.com,1,2,0,6,s16,false,false
138061,Calridge,2024-05-20,Starter,eu-west,sam@yahoo.com,2,3,1,7,s16,false,false
138687,Quospire Interactive,2024-04-21,Free,us-east,noah@quospire.com,1,2,0,5,s16,false,false
138919,Wexquay,2024-04-19,Starter,us-east,sofia.novak@wexquay.com,1,2,1,6,s16,false,false
139733,Nyxfield Digital,2026-03-29,Pro,us-east,gus@icloud.com,1,3,1,7,s16,false,false
139864,Rivbourne Media,2024-05-02,Starter,eu-west,aisha.ibarra@icloud.com,1,2,1,4,s16,false,false
140703,Dorshore Robotics,2026-03-27,Free,eu-west,petra.okoro@outlook.com,1,5,0,9,s16,false,false
141006,Tanmere,2024-10-27,Pro,eu-west,dev.kaur@icloud.com,2,4,1,9,s16,false,false
141779,Melreach Interactive,2025-01-09,Free,us-east,jordan.moreau@melreach.dev,1,2,0,6,s16,false,false
141910,Wexgrove AI,2024-03-13,Pro,us-east,tomas@gmail.com,1,3,1,6,s16,false,false
142810,Hexquay Dynamics,2026-05-03,Pro,us-east,maya.okoro@hexquay.com,1,6,0,8,s16,false,false
143473,Pyrreach Analytics,2024-04-24,Pro,eu-west,yuki@icloud.com,1,3,1,6,s16,false,false
143684,Lyrcliff Systems,2025-12-07,Starter,us-east,kai.petrov@lyrcliff.com,1,7,0,8,s16,false,false
144002,Galhollow AI,2026-02-18,Free,eu-west,gus.haddad@galhollow.co,1,7,0,8,s16,false,false
144659,Galfont Logistics,2026-04-09,Free,us-east,ruth.petrov@outlook.com,1,4,0,5,s16,false,false
144757,Pavmoor Logistics,2024-06-25,Pro,us-east,raj@pavmoor.com,3,7,2,10,s256,false,false
145318,Grugate Works,2026-06-11,Starter,us-east,diego.oyelaran@icloud.com,1,5,1,10,s16,false,false
145724,Oromere Labs,2025-11-12,Free,eu-west,aisha@oromere.dev,1,3,0,6,s16,false,false
146115,Kesstead Media,2025-11-02,Free,us-east,maya.ashworth@kesstead.com,1,5,0,9,s16,false,false
146317,Korwick Works,2024-05-11,Pro,eu-west,diego@gmail.com,2,2,1,6,s16,false,false
146393,Lyrwick Systems,2025-08-16,Free,us-east,alex.bergstrom@lyrwick.dev,1,2,0,3,s16,false,false
147224,Hexport Bio,2025-07-15,Pro,eu-west,chen.novak@hexport.io,1,3,1,5,s16,false,false
147930,Rivfont Systems,2026-03-18,Pro,us-east,iris@gmail.com,1,3,1,8,s16,false,false
148018,Pavgrove,2025-02-24,Pro,us-east,diego.vance@outlook.com,2,6,1,10,s16,false,false
148884,Halreach Analytics,2025-07-09,Starter,us-east,lena@yahoo.com,1,2,0,3,s16,false,false
149350,Vinharbor Systems,2026-01-06,Starter,eu-west,dev.moreau@proton.me,1,4,0,7,s16,false,false
149919,Cynmere Health,2025-02-24,Pro,us-east,sam@cynmere.io,3,2,1,6,s256,false,false
150519,Delcrest AI,2025-12-11,Pro,eu-west,priya@yahoo.com,1,3,1,7,s16,false,false
151443,Torfield Analytics,2026-01-24,Free,us-east,alex@gmail.com,1,3,0,5,s16,false,false
151997,Indvale Media,2024-04-25,Free,us-east,noah.silva@yahoo.com,1,3,0,4,s16,false,false
152100,Nyxgrove Labs,2026-02-14,Pro,us-east,tomas@yahoo.com,1,4,0,7,s16,false,false
152649,Dorcrest Commerce,2026-05-10,Pro,us-east,ivy.nakamura@dorcrest.app,2,6,2,9,s256,false,false
152917,Junhaven Health,2024-10-11,Starter,us-east,petra.moreau@icloud.com,1,5,0,6,s16,false,false
153280,Galfield Games,2024-07-08,Free,eu-west,petra.novak@gmail.com,1,5,0,8,s16,false,false
153957,Indgate Robotics,2026-04-13,Pro,us-east,marco.nakamura@icloud.com,2,3,1,8,s16,false,false
154639,Belhollow Logistics,2025-10-06,Pro,eu-west,aisha.haddad@belhollow.com,2,5,1,8,s16,false,false
154771,Halbrook Dynamics,2024-06-04,Free,eu-west,ruth.delgado@halbrook.app,1,3,0,6,s16,false,false
155093,Pyrgate Games,2025-09-29,Pro,us-east,jordan.reyes@pyrgate.com,4,7,2,11,s256,false,false
155605,Jungrove Digital,2025-10-13,Starter,us-east,elena.ibarra@jungrove.co,1,2,0,3,s16,false,false
156127,Torbourne Media,2025-05-07,Pro,us-east,nina@torbourne.io,3,3,1,7,s256,false,false
156192,Pavmere Systems,2026-05-22,Pro,us-east,diego.mccrae@proton.me,1,9,1,13,s16,false,false
156980,Calspire Networks,2025-07-19,Pro,us-east,otto.bouchard@calspire.io,2,1,1,4,s16,false,false
157815,Wexcliff Works,2025-10-26,Free,eu-west,sam@wexcliff.co,1,5,0,6,s16,false,false
158008,Calridge Digital,2024-12-31,Pro,us-east,theo@calridge.app,2,4,1,6,s16,false,false
158503,Delvale Networks,2025-10-03,Pro,us-east,raj.delgado@delvale.app,1,4,1,8,s16,false,false
159445,Pyrvale Robotics,2025-04-28,Pro,eu-west,diego.kaur@proton.me,2,4,1,7,s16,false,false
160122,Tanbourne Commerce,2025-12-20,Free,eu-west,priya.vance@tanbourne.com,1,6,1,8,s16,false,false
161037,Delstead Health,2025-12-20,Free,eu-west,diego@delstead.io,1,3,0,6,s16,false,false
161162,Galmoor Media,2026-01-30,Free,us-east,sam@galmoor.co,1,3,1,6,s16,false,false
162108,Halharbor Games,2026-06-09,Starter,us-east,ben.reyes@halharbor.co,1,8,1,13,s16,false,false
162733,Nyxharbor Group,2025-06-25,Pro,us-east,lars.tanaka@nyxharbor.io,2,3,1,5,s16,false,false
163568,Halhaven Commerce,2024-06-06,Pro,eu-west,sana.petrov@outlook.com,1,1,1,3,s16,false,false
164435,Gruhaven Analytics,2024-10-14,Starter,us-east,aisha@yahoo.com,1,5,1,9,s16,false,false
164848,Belvale Robotics,2025-11-20,Starter,us-east,dev.novak@gmail.com,1,3,0,6,s16,false,false
165321,Vermarch AI,2024-08-13,Pro,eu-west,alex.ashworth@gmail.com,2,5,1,10,s16,false,false
165880,Pyrbrook Games,2024-11-24,Starter,us-east,sam@pyrbrook.co,1,3,0,7,s16,false,false
166703,Norridge Labs,2024-09-12,Pro,us-east,priya.ferreira@norridge.app,2,6,1,8,s16,false,false
167056,Norcliff Health,2026-06-16,Starter,us-east,dev@proton.me,1,5,1,7,s16,false,false
167614,Umbgrove Health,2025-02-05,Pro,us-east,sana@proton.me,1,3,1,7,s16,false,false
167959,Tangrove Media,2025-11-07,Free,us-east,otto.okoro@proton.me,1,3,0,6,s16,false,false
168713,Ithfont AI,2026-04-01,Pro,us-east,nina.abara@ithfont.dev,1,4,1,7,s16,false,false
168993,Morcliff Works,2025-06-20,Free,eu-west,omar.hoffmann@gmail.com,1,2,0,6,s16,false,false
169784,Pyrloft Health,2026-02-14,Free,us-east,elena@outlook.com,1,7,0,11,s16,false,false
170497,Bribrook Studio,2025-01-04,Pro,us-east,raj.hoffmann@bribrook.com,3,5,1,10,s16,false,false
171042,Velstead Health,2025-11-10,Starter,us-east,kai.delgado@velstead.com,1,5,1,10,s16,false,false
171763,Tanbrook Robotics,2024-10-14,Starter,eu-west,ruth@tanbrook.com,2,3,0,4,s16,false,false
172658,Zanvale Group,2025-07-30,Pro,eu-west,yuki.ibarra@northmere.edu,1,3,1,7,s256,false,false
173103,Kesharbor Systems,2025-06-01,Pro,us-east,aisha.lindqvist@kesharbor.com,1,4,1,9,s16,false,false
173921,Kesfont Labs,2025-08-31,Pro,eu-west,wei.abara@yahoo.com,2,6,1,11,s16,false,false
174190,Calvale Media,2024-05-21,Free,us-east,ruth.haddad@icloud.com,1,7,0,11,s16,false,false
174762,Rivmoor AI,2024-03-28,Pro,eu-west,mina@gmail.com,1,5,1,10,s16,false,false
175370,Junquay Works,2025-06-25,Free,eu-west,alex@junquay.com,1,2,0,5,s16,false,false
175733,Nyxvale Robotics,2026-04-11,Starter,us-east,iris.larsen@proton.me,1,6,1,10,s16,false,false
176352,Pyrfield Group,2024-06-29,Pro,eu-west,gus@pyrfield.dev,3,3,1,7,s16,true,false
177063,Frowick Systems,2026-04-04,Free,us-east,theo@outlook.com,1,6,1,10,s16,false,false
177495,Torgrove,2024-03-08,Pro,us-east,petra.ashworth@gmail.com,1,2,1,7,s16,false,false
178083,Nyxreach Logistics,2024-09-26,Pro,us-east,gus.whitfield@nyxreach.io,3,2,1,4,s16,false,false
178588,Calmarch,2025-05-30,Pro,us-east,rosa@yahoo.com,2,2,1,6,s16,false,false
179155,Vinshore Commerce,2026-02-19,Pro,eu-west,theo.kaur@vinshore.com,7,3,1,5,s256,false,false
179905,Kesvale Labs,2025-09-24,Pro,eu-west,sam.moreau@proton.me,2,4,1,6,s16,false,false
180060,Torreach Systems,2026-02-19,Free,us-east,alex.bouchard@outlook.com,1,4,0,7,s16,false,false
180564,Embloft Cloud,2025-03-07,Pro,us-east,omar.adeyemi@embloft.com,3,3,1,5,s16,false,false
181486,Keshollow Games,2025-08-22,Starter,eu-west,cleo.sandoval@yahoo.com,2,5,1,9,s16,false,false
182099,Lyrridge Networks,2025-04-08,Starter,us-east,tomas.haddad@lyrridge.dev,1,3,0,5,s16,false,false
182651,Melmoor Robotics,2024-08-04,Starter,us-east,ruth.quinn@outlook.com,1,3,0,5,s16,false,false
182892,Ithcrest Digital,2024-08-20,Pro,us-east,sam.ferreira@yahoo.com,1,3,1,5,s256,false,false
183428,Delhollow Bio,2026-01-26,Starter,us-east,tomas.adeyemi@delhollow.io,1,5,0,7,s16,false,false
184204,Zanshore Studio,2024-06-07,Pro,us-east,tomas.vance@gmail.com,1,3,1,5,s256,false,false
184635,Pavwick Media,2025-06-30,Starter,us-east,raj@pavwick.ai,1,1,1,5,s16,false,false
185108,Halbourne Analytics,2025-11-08,Free,eu-west,nina@halbourne.com,1,2,1,6,s16,false,false
185384,Quocrest Works,2025-11-28,Starter,eu-west,alex.ferreira@quocrest.co,2,5,0,9,s16,false,false
185805,Morwick Logistics,2024-10-01,Free,us-east,alex@morwick.com,1,2,1,7,s16,false,false
186285,Junfont Labs,2025-05-25,Pro,us-east,rosa@junfont.com,3,5,3,10,s256,false,false
187228,Lyrfield Studio,2024-09-13,Starter,us-east,ruth.ashworth@lyrfield.app,1,6,1,9,s16,false,false
188012,Nyxreach Media,2024-10-17,Free,us-east,nina@icloud.com,1,2,1,4,s16,false,false
188654,Cynshore AI,2024-10-19,Free,us-east,yuki@gmail.com,1,5,0,7,s16,false,false
189230,Hexstead AI,2024-12-20,Pro,us-east,wei@icloud.com,2,3,1,6,s16,false,false
189652,Umbvale Analytics,2025-12-20,Starter,us-east,otto.silva@umbvale.app,1,4,0,8,s16,false,false
190247,Melmarch Health,2024-04-15,Starter,eu-west,hana.quinn@melmarch.io,1,3,1,5,s16,false,false
190867,Fenspire Labs,2025-01-21,Free,eu-west,sana.abara@yahoo.com,1,10,0,14,s16,false,false
190960,Bricrest Labs,2024-11-10,Pro,us-east,alex.okoro@bricrest.com,1,5,1,10,s16,false,false
191242,Melfont Cloud,2024-03-31,Pro,eu-west,alex@outlook.com,1,5,1,7,s16,false,false
191572,Quowick Commerce,2024-07-30,Pro,eu-west,lena.whitfield@icloud.com,2,4,1,8,s16,false,false
191906,Indmere Digital,2025-11-18,Pro,us-east,raj.lindqvist@outlook.com,2,4,1,6,s16,false,false
192540,Korstead Digital,2026-04-25,Free,us-east,hana.nakamura@korstead.io,1,3,0,6,s16,false,false
192671,Kesloft Group,2024-06-06,Pro,us-east,theo.tanaka@gmail.com,1,3,1,7,s16,false,false
193588,Pavcrest Logistics,2026-01-26,Pro,us-east,tomas.ashworth@proton.me,1,3,1,6,s16,false,false
193847,Junridge Interactive,2024-06-28,Starter,eu-west,lars@junridge.app,1,1,0,2,s256,false,false
194085,Zancrest Works,2025-02-24,Pro,us-east,hana.quinn@zancrest.io,1,1,1,6,s16,false,false
194826,Morbourne Cloud,2025-11-13,Pro,us-east,maya.quinn@westbrae.edu,1,3,1,8,s256,false,false
195449,Galhaven Group,2024-09-24,Pro,us-east,ivy@icloud.com,2,4,0,5,s16,false,false
195724,Torwick Logistics,2024-09-25,Starter,us-east,maya.larsen@gmail.com,1,6,0,9,s16,false,false
195988,Wexreach Media,2024-05-05,Pro,eu-west,cleo.petrov@wexreach.dev,2,6,1,8,s256,false,false
